"question","answer","category","priority_class"
"Можно ли использовать ETF без маржинальная торговля?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Что делать, если не работает Confluence?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Как обновить налоговый вычет?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии.","Технические сервисы","well_known_question"
"Как обновить опционы?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Можно ли использовать валютные инструменты без CRM?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Как исправить проблему с робо-советник?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии.","Технические сервисы","well_known_question"
"Где найти информацию по робо-советник?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Как исправить проблему с CRM?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Как обновить СЗР?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Почему не загружается робо-советник?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как исправить проблему с DocFlow?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Почему в Финмаркет ошибка?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как обновить Power BI?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Как обновить профиль риска?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Как проверить статус маржинальная торговля?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Почему не загружается ДИС?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Как исправить проблему с ДИС?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Что делать, если не работает опционы?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Как исправить проблему с акции?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Почему Финмаркет не отображается в SharePoint?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как настроить Confluence?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Где найти информацию по SberOTP?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Где найти информацию по Торговец?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Где найти информацию по Confluence?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Что делать, если не работает ETF?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Почему профиль риска не отображается в валютные инструменты?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Почему опционы не отображается в робо-советник?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Почему в биржевые фонды ошибка?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Что делать, если не работает профиль риска?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Можно ли использовать портфель без деривативы?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Как проверить статус дивиденды?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как обновить маржинальная торговля?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Как обновить налоговый вычет?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Почему акции не отображается в DocFlow?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Что делать, если не работает CRM?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Почему в СЗР ошибка?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Почему профиль риска не отображается в биржевые фонды?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Можно ли использовать акции без портфель?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Как настроить KYC?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Как проверить статус ETF?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Почему не загружается акции?","В CRM: «Аналитика → Compliance → Просроченные KYC». Фильтр обновляется ежедневно.","Compliance","well_known_question"
"Почему дивиденды не отображается в ИнвестПро?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Что делать, если не работает Торговец?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как проверить статус акции?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Можно ли использовать SberOTP без Power BI?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Почему в ИИС ошибка?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Что делать, если не работает облигации?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Как настроить налоговый вычет?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Почему в ETF ошибка?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как обновить SharePoint?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Где найти информацию по ДИС?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Почему не загружается DocFlow?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как обновить DocFlow?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Как обновить SberOTP?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Почему дивиденды не отображается в Confluence?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance","well_known_question"
"Как обновить деривативы?","В CRM: «Аналитика → Отчёты → ИИС → Экспорт (XLSX)». Доступно только с ролью «Invest_Manager».","Документы","well_known_question"
"Где найти информацию по робо-советник?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Почему не загружается Торговец?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Что делать, если не работает SharePoint?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Почему DocFlow не отображается в Power BI?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Можно ли использовать ИнвестПро без налоговый вычет?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как настроить деривативы?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии.","Технические сервисы","well_known_question"
"Что делать, если не работает маржинальная торговля?","Предложение можно отменить, пока клиент не открыл его. В CRM: «Мои предложения» → «Отменить».","Документы","well_known_question"
"Как настроить акции?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Как настроить SberOTP?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как обновить биржевые фонды?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Как настроить валютные инструменты?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Как настроить маржинальная торговля?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Почему в Торговец ошибка?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Почему не загружается робо-советник?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Что делать, если не работает Confluence?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Что делать, если не работает СЗР?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Почему CRM не отображается в налоговый вычет?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Как настроить Confluence?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Что делать, если не работает деривативы?","Обновлённый список публикуется еженедельно в **Confluence → Департамент Рисков → Инвест-ограничения**.","Compliance","well_known_question"
"Как исправить проблему с SharePoint?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Можно ли использовать деривативы без налоговый вычет?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Как обновить ДИС?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Как настроить ИнвестПро?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Как проверить статус облигации?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Как проверить статус ДИС?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Почему не загружается акции?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Почему не загружается Power BI?","Убедитесь, что вы подключены к корпоративной сети или VPN. Сбросьте токен в [портале безопасности](https://security.sberbank.ru).","Авторизация","well_known_question"
"Что делать, если не работает Power BI?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Что делать, если не работает Финмаркет?","Отчёт считает активность по сделкам, а не по входам. Клиент без сделок 90+ дней считается неактивным.","Отчётность","well_known_question"
"Где найти информацию по SharePoint?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Почему в опционы ошибка?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Почему CRM не отображается в робо-советник?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Где найти информацию по профиль риска?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Почему профиль риска не отображается в дивиденды?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как исправить проблему с SharePoint?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Почему не загружается ИИС?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Можно ли использовать портфель без акции?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Почему не загружается облигации?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Где найти информацию по Power BI?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Что делать, если не работает профиль риска?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Как настроить налоговый вычет?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Можно ли использовать налоговый вычет без Торговец?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Почему не загружается DocFlow?","В CRM → «Профиль клиента» → вкладка «Разрешения». Ищите статус «Derivatives_Approved».","Compliance","well_known_question"
"Можно ли использовать KYC без профиль риска?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Почему робо-советник не отображается в SberOTP?","1. Откройте карточку клиента. 2. Нажмите «Профиль риска». 3. Запустите анкету повторной оценки. 4. Подтвердите результаты. Требуется согласие клиента.","Compliance","well_known_question"
"Почему CRM не отображается в ETF?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Почему облигации не отображается в Power BI?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Как обновить портфель?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
"Почему не загружается SberOTP?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Почему в облигации ошибка?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Почему в биржевые фонды ошибка?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Что делать, если не работает ИнвестПро?","В CRM → «Клиент-юрлицо» → вкладка «Интеграции». Статус: «Активна» / «Требует настройки».","Технические сервисы","well_known_question"
"Где найти информацию по биржевые фонды?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как проверить статус дивиденды?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Можно ли использовать ИИС без СЗР?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Как обновить ETF?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Как исправить проблему с Торговец?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Почему СЗР не отображается в ИнвестПро?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Как настроить DocFlow?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Почему в DocFlow ошибка?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Можно ли использовать дивиденды без маржинальная торговля?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как настроить СЗР?","Все звонки фиксируются в **Системе записи разговоров (СЗР)**. Номер сессии можно найти в CRM → «История взаимодействий». Для отчёта укажите ID сессии и время.","Compliance","well_known_question"
"Как обновить портфель?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Почему не загружается Финмаркет?","В Confluence → СберИнвестиции → Compliance → Cold_Call_Policy_2025.","Compliance","well_known_question"
"Почему в Power BI ошибка?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Как настроить дивиденды?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Как обновить маржинальная торговля?","В CRM → «Счёт» → «История условий». Архив доступен за последние 2 года.","Документы","well_known_question"
"Где найти информацию по KYC?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Что делать, если не работает облигации?","1. Зайдите в «Финмаркет». 2. Профиль → «Настройки уведомлений». 3. Укажите корпоративный email.","Технические сервисы","well_known_question"
"Что делать, если не работает маржинальная торговля?","Убедитесь, что вы подключены к корпоративной сети или VPN. Сбросьте токен в [портале безопасности](https://security.sberbank.ru).","Авторизация","well_known_question"
"Как проверить статус СЗР?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Почему в маржинальная торговля ошибка?","В CRM: «Портфель» → «Сформировать отчёт» → выберите шаблон → «Отправить клиенту».","Документы","well_known_question"
"Как проверить статус дивиденды?","Попросите клиента: 1) Обновить приложение, 2) Перезагрузить устройство, 3) Убедиться, что включён доступ к биометрии.","Технические сервисы","well_known_question"
"Почему акции не отображается в робо-советник?","В CRM → «Портфель» → вкладка «История». Доступен фильтр по дате и типу операции.","Аналитика","well_known_question"
"Как проверить статус KYC?","Нет. На 2025 год все ETF с крипто-экспозицией внесены в **чёрный список** Департамента Рисков.","Compliance","well_known_question"
"Как исправить проблему с робо-советник?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Можно ли использовать облигации без робо-советник?","Откройте приложение **SberOTP**, нажмите «Восстановить аккаунт» и следуйте инструкциям. Потребуется код из SMS и ваш корпоративный email.","Авторизация","well_known_question"
"Почему в ETF ошибка?","Расписание — в **SberUniversity → События → Инвестиции**. Все вебинары записываются и доступны в течение 30 дней.","HR","well_known_question"
"Можно ли использовать CRM без Power BI?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Почему в CRM ошибка?","1. Авторизуйтесь в боте **@Invest_Alert**. 2. Введите /subscribe. 3. Подтвердите роль «Invest_Advisor».","Технические сервисы","well_known_question"
"Как настроить облигации?","Черновики хранятся 30 дней в «Корзине предложений». Восстановите через CRM → «Мои черновики» → «Архив».","Документы","well_known_question"
"Где найти информацию по Торговец?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Почему в маржинальная торговля ошибка?","В CRM → «Сделка» → статус «Compliance Check». Зелёный — одобрено.","Compliance","well_known_question"
"Как проверить статус биржевые фонды?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Как проверить статус биржевые фонды?","1. Получите скан нового паспорта. 2. Загрузите в CRM через форму «Обновление KYC». 3. Запустите верификацию.","Compliance","well_known_question"
"Почему налоговый вычет не отображается в маржинальная торговля?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Почему в деривативы ошибка?","1. Нажмите «Новый клиент – Юрлицо». 2. Выберите «Открытие счёта». 3. Загрузите учредительные документы. 4. Система автоматически сформирует пакет на подпись через DocFlow.","Документы","well_known_question"
"Почему KYC не отображается в KYC?","В CRM: «Аналитика → Робо-советник → Экспорт клиентов».","Аналитика","well_known_question"
"Где найти информацию по дивиденды?","В CRM → «Портфель клиента» → вкладка «ИИС». Баланс обновляется в реальном времени.","Аналитика","well_known_question"
"Как проверить статус облигации?","Статус отображается в CRM → «Заявки клиента» → фильтр по типу «ИИС». Обычно обработка занимает до 2 рабочих дней.","Документы","well_known_question"
"Как проверить статус облигации?","1. Откройте карточку клиента в CRM. 2. Нажмите «Создать коммерческое предложение». 3. Выберите продукт «ИИС тип А». 4. Нажмите «Отправить в Финмаркет».","Документы","well_known_question"
"Что делать, если не работает опционы?","В SharePoint → СберИнвестиции → Шаблоны → VIP_Onboarding_2025.docx.","HR","well_known_question"
"Почему не загружается ОФЗ?","Через **SberUniversity → Каталог → Инвестиции → «ИИС: продвинутый уровень»**. Запись открыта раз в квартал.","HR","well_known_question"
"Почему Confluence не отображается в Confluence?","В **BI-панели «Invest_Dashboard»** (Power BI). Доступ автоматически выдаётся всем сотрудникам с ролью «Invest_Advisor».","HR","well_known_question"
"Как проверить статус ИнвестПро?","В Confluence → СберИнвестиции → Research_Vendors. Обновляется ежеквартально.","Аналитика","well_known_question"
"Как настроить ETF?","Маржинальная торговля требует отдельного согласия клиента и прохождения теста. Проверьте статус в CRM → «Услуги клиента».","Торговля","well_known_question"
"Как проверить статус ИнвестПро?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Где найти информацию по DocFlow?","1. Откройте портфель. 2. Нажмите «+ Клиент». 3. Введите ID клиента из CRM. Доступно только с ролью «Portfolio_Manager».","Аналитика","well_known_question"
"Почему DocFlow не отображается в валютные инструменты?","В CRM: «Сделки» → «Экспорт» → выберите период → формат CSV.","Документы","well_known_question"
"Можно ли использовать ETF без робо-советник?","В CRM → «Коммуникации» → флаг «ESG_Subscribed». При отсутствии — отправьте приглашение.","HR","well_known_question"
"Почему в опционы ошибка?","ОФЗ доступны только после прохождения анкеты «Гособлигации». Запустите её в CRM.","Торговля","well_known_question"
"Как настроить ОФЗ?","Зайдите в **People.sberbank.ru** → введите фамилию. Фильтр по подразделению доступен после авторизации.","HR","well_known_question"
"Почему не загружается опционы?","1. Выберите сегмент в CRM. 2. Нажмите «Массовые коммуникации». 3. Выберите шаблон «ИИС_налог_2025». 4. Запустите рассылку.","HR","well_known_question"
"Как исправить проблему с дивиденды?","Шаблоны хранятся в **SharePoint → Департамент Инвестиций → Отчётность → Шаблоны 2024**. Доступ требует роли «Invest_Analyst».","Документы","well_known_question"
"Как обновить валютные инструменты?","Клиент должен пройти eKYC в мобильном приложении. Отправьте ему push-уведомление через CRM или SMS-шаблон.","Compliance","well_known_question"
"Что делать, если не работает Confluence?","Инструкции в **Confluence → СберИнвестиции → Инструменты → Инвест-аналитика**. Требуется роль «Invest_Analyst» или выше.","Документы","well_known_question"
